agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,n_obs,n_missing,n_zero,n_non_missing,n_missing_or_zero,n_non_missing_and_non_zero
USGS,08110200,"Brazos Rv at Washington, TX",ST,30.359175,-96.1549028,S,NAD83,122.2,0.23,NAVD88,12070101,pk,NA,NA,0,NA,wat,NA,0,0,1966-04-28,2024-05-08,24,NA,NA,NA,NA,NA,NA
USGS,08175800,"Guadalupe Rv at Cuero, TX",ST,29.09053147,-97.3297129,F,NAD83,128.83,0.04,NAVD88,12100204,pk,NA,NA,0,NA,wat,NA,0,0,1964-03-21,2024-01-27,61,NA,NA,NA,NA,NA,NA
USGS,07382500,"Bayou Courtableau at Washington, LA",ST,30.61825175,-92.0556741,U,NAD83,-1.05,0.16,NAVD88,08080102,pk,NA,NA,0,NA,wat,NA,0,0,1940-08-12,2024-05-20,79,NA,NA,NA,NA,NA,NA
USGS,08042000,"Taylor Bayou nr LaBelle, TX",ST,29.875,-94.1594444,S,NAD83,-4.63,0.1,NGVD29,12040201,pk,NA,NA,0,NA,wat,NA,0,0,1952-02-04,2000-09-03,41,NA,NA,NA,NA,NA,NA
USGS,08042500,"Hillebrandt Bayou nr Lovell Lake, TX",ST,29.92888889,-94.1097222,S,NAD83,-4.63,0.1,NGVD29,12040201,pk,NA,NA,0,NA,wat,NA,0,0,1954-05-25,2000-09-02,38,NA,NA,NA,NA,NA,NA
USGS,08068900,"Cypress Ck at Stuebner-Airline Rd nr Westfield, TX",ST,30.00660994,-95.511885,F,NAD83,0,3,NAVD88,12040102,pk,NA,NA,0,NA,wat,NA,0,0,1983-05-21,2024-07-08,42,NA,NA,NA,NA,NA,NA
USGS,08069000,"Cypress Ck nr Westfield, TX",ST,30.0357753,-95.428827,F,NAD83,0,0.01,NAVD88,12040102,pk,NA,NA,0,NA,wat,NA,0,0,1929-05-31,2024-07-08,82,NA,NA,NA,NA,NA,NA
USGS,08073700,"Buffalo Bayou at Piney Point, TX",ST,29.7468959,-95.5235538,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1964-03-07,2024-07-08,60,NA,NA,NA,NA,NA,NA
USGS,08074150,"Cole Ck at Deihl Rd, Houston, TX",ST,29.8513369,-95.4879965,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1964-05-31,2024-07-08,58,NA,NA,NA,NA,NA,NA
USGS,08074250,"Brickhouse Gully at Costa Rica St, Houston, TX",ST,29.82800424,-95.469385,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1965-09-22,2024-07-08,54,NA,NA,NA,NA,NA,NA
USGS,08074500,"Whiteoak Bayou at Houston, TX",ST,29.77522777,-95.3971612,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1929-05-31,2024-07-08,90,NA,NA,NA,NA,NA,NA
USGS,08074540,"Little Whiteoak Bayou at Trimble St, Houston, TX",ST,29.79277778,-95.3680556,S,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1981-08-31,2024-07-08,34,NA,NA,NA,NA,NA,NA
USGS,08074780,"Keegans Bayou at Keegan Rd nr Houston, TX",ST,29.66551017,-95.5952228,F,NAD83,0,5,NGVD29,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1964-12-10,2002-10-28,34,NA,NA,NA,NA,NA,NA
USGS,08074800,"Keegans Bayou at Roark Rd nr Houston, TX",ST,29.65662136,-95.5621664,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1964-12-10,2024-07-08,60,NA,NA,NA,NA,NA,NA
USGS,08074810,"Brays Bayou at Gessner Dr, Houston, TX",ST,29.6727317,-95.5282765,F,NAD83,0,0.1,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,1977-04-20,2024-07-08,48,NA,NA,NA,NA,NA,NA
USGS,08075000,"Brays Bayou at Houston, TX",ST,29.69717469,-95.412162,F,NAD83,0,0.01,NAVD88,12040104,pk,NA,NA,0,NA,wat,NA,0,0,NA,2024-07-08,91,NA,NA,NA,NA,NA,NA
